Tube ,Focal,Env,TimePoint,Reads,Mapping,Counting,Extraction,Lane
BM_1,B,M,Day_1,29516110,93.44,76.1,G3,Pool1
BM_3,B,M,Day_1,20950679,91.35,72.1,G3,Pool3
BM_4,B,M,Day_1,21443598,90.2,71.3,G3,Pool4
BM_5,B,M,Day_1,24622703,88.08,71.3,G3,Pool5
BM_6,B,M,Day_1,23323624,88.69,73.4,G3,Pool6
BM_7,B,M,Day_1,24913578,91.28,72.8,G3,Pool7
BM_8,B,M,Day_1,25025373,90.2,71.4,G3,Pool6
BM_9,B,M,Day_1,24639710,90.97,74.7,G3,Pool7
BM_10,B,M,Day_1,27075736,93.95,76.5,G3,Pool1
BB_1,B,B,Day_1,26796025,87.02,70.5,G2,Pool1
BB_2,B,B,Day_1,29159748,90.08,72.9,G2,Pool2
BB_3,B,B,Day_1,22315362,90.48,69.9,G2,Pool3
BB_4,B,B,Day_1,29079585,90.73,70.1,G2,Pool4
BB_6,B,B,Day_1,21934930,91.78,74.2,G2,Pool6
BB_7,B,B,Day_1,25895940,86.67,63.9,G2,Pool7
BB_9,B,B,Day_1,24748574,78.82,58.3,G2,Pool2
MB_1,M,B,Day_1,23298193,90.08,68.9,G5,Pool1
MB_2,M,B,Day_1,32086332,90.14,71.3,G5,Pool2
MB_3,M,B,Day_1,20974490,90.96,67.9,G5,Pool3
MB_4,M,B,Day_1,25050474,90.83,72.5,G5,Pool4
MB_5,M,B,Day_1,25664414,89.65,72.4,G5,Pool5
MB_6,M,B,Day_1,23340753,88.18,71,G5,Pool6
MB_7,M,B,Day_1,24276672,91.73,74.3,G5,Pool7
MB_8,M,B,Day_1,29588295,88.76,73,G5,Pool1
MB_9,M,B,Day_1,34972477,88.63,72.5,G5,Pool2
MB_10,M,B,Day_1,31121604,92.05,71.7,G5,Pool3
MB_11,M,B,Day_1,25334743,90.12,70.9,G5,Pool4
MB_12,M,B,Day_1,25949129,84.61,69.6,G5,Pool5
MB_13,M,B,Day_1,20380599,89.18,71.4,G5,Pool6
MB_14,M,B,Day_1,23836437,91.1,73.6,G5,Pool7
MM_1,M,M,Day_1,24184565,87.8,69.1,G6,Pool1
